listeaza_catalog,2026-06-05T06:34:49.497213633
grupeaza_dupa_tip,2026-06-05T06:34:49.506006410
cauta_item,2026-06-05T06:34:49.508247807
verifica_disponibilitate,2026-06-05T06:34:49.509359218
imprumuta_item,2026-06-05T06:34:49.515100605
afiseaza_imprumuturi,2026-06-05T06:34:49.516866971
returneaza_item,2026-06-05T06:34:49.536027685
verifica_disponibilitate,2026-06-05T06:34:49.536418394
elimina_cititor,2026-06-05T06:34:49.540635288
finalizare_demo,2026-06-05T06:34:49.541070422
adauga_autor,2026-06-05T06:35:05.311954104
adauga_autor,2026-06-05T06:35:05.319121280
adauga_item,2026-06-05T06:35:05.322100354
adauga_item,2026-06-05T06:35:05.324799511
adauga_item,2026-06-05T06:35:05.327208070
inregistreaza_cititor,2026-06-05T06:35:05.330894430
inregistreaza_cititor,2026-06-05T06:35:05.333386290
listeaza_catalog,2026-06-05T06:35:05.333516660
grupeaza_dupa_tip,2026-06-05T06:35:05.345086861
cauta_item,2026-06-05T06:35:05.347772101
verifica_disponibilitate,2026-06-05T06:35:05.349336521
imprumuta_item,2026-06-05T06:35:05.356069324
afiseaza_imprumuturi,2026-06-05T06:35:05.357887531
returneaza_item,2026-06-05T06:35:05.373240347
verifica_disponibilitate,2026-06-05T06:35:05.373505255
elimina_cititor,2026-06-05T06:35:05.377626519
finalizare_demo,2026-06-05T06:35:05.377967373
adauga_autor,2026-06-05T09:18:21.796642670
adauga_autor,2026-06-05T09:18:21.804563436
adauga_item,2026-06-05T09:18:21.808467567
adauga_item,2026-06-05T09:18:21.811343884
adauga_item,2026-06-05T09:18:21.815144741
inregistreaza_cititor,2026-06-05T09:18:21.819825064
inregistreaza_cititor,2026-06-05T09:18:21.822844801
listeaza_catalog,2026-06-05T09:18:21.823037353
grupeaza_dupa_tip,2026-06-05T09:18:21.840364040
cauta_item,2026-06-05T09:18:21.843758733
verifica_disponibilitate,2026-06-05T09:18:21.845285318
imprumuta_item,2026-06-05T09:18:21.853979960
afiseaza_imprumuturi,2026-06-05T09:18:21.860082111
afiseaza_imprumuturi_active_detalii,2026-06-05T09:18:21.871535729
afiseaza_cititori_cu_numar_imprumuturi,2026-06-05T09:18:21.876166669
afiseaza_top_iteme_imprumutate,2026-06-05T09:18:21.878379887
returneaza_item,2026-06-05T09:18:21.886440957
verifica_disponibilitate,2026-06-05T09:18:21.886890483
elimina_cititor,2026-06-05T09:18:21.892259373
finalizare_demo,2026-06-05T09:18:21.893412244
